,Nom,Téléphone,Adresse,Ville,Département,Capacité,Type d'établissement,Capacité médecine,Capacité chirurgie,Capacité obstétrique,Capacité psychiatrie,Capacité moyen séjour,Capacité long séjour,Capacité hébergement,Capacité hospitalisation à domicile,Capacité service de soins infirmiers à domicile,Equipement : scanner,Equipement : irm,Equipement : radiologie numérisée,Equipement : radiologie vasculaire,Equipement : caméras à scintillon,Equipement : tep (tomographe)
20,Centre hospitalier  (Chauny),03 23 38 55 00," 94, rue des Anciens Combattants d'AFN et TOM  02303 Chauny",Chauny,02, 223 places, Centre Hospitalier,125,39,21,0,38,0,0,0,0,1,0,2,0,0,0
21,Centre Hospitalier  (Guise),03 23 51 55 55, 858 rue des Docteurs Devillers  02120 Guise,Guise,02, 215 places, Centre Hospitalier,28,0,0,0,42,30,115,15,57,0,0,1,0,0,0
22,Centre de rééducation - réadaptation fonctionnelle Jacques FICHEUX (Saint-Gobain),03 23 38 78 00, route de Saint-Nicolas  02410 Saint-Gobain,Saint-Gobain,02, 200 places, Centre Hospitalier,0,0,0,0,200,0,0,0,0,0,0,1,0,0,0
23,Centre hospitalier Jeanne de Navarre  (CHÂTEAU-THIERRY),03 23 69 66 00, Route de Verdilly B.P. 10179 02405 CHÂTEAU-THIERRY,CHÂTEAU-THIERRY,02, 186 places, Centre Hospitalier,126,30,30,0,0,0,0,0,0,1,2,2,0,0,0
24,Centre hospitalier  (Vervins),03 23 91 60 60," 20, place de La Liberté  02140 Vervins",Vervins,02, 138 places, Centre Hospitalier,36,0,0,0,33,0,69,0,0,0,0,0,0,0,0
25,Centre hospitalier Brisset (Hirson),03 23 58 82 82," 40, rue aux Loups  02500 Hirson",Hirson,02, 90 places, Centre Hospitalier,60,0,0,0,30,0,0,0,0,1,0,2,0,0,0
26,CENTRE HOSPITALIER GERONTOLOGIQUE  (LA FERE),03 23 56 67 00, 2 avenue Dupuis  02800 LA FERE,LA FERE,02, 74 places, Centre Hospitalier,43,0,0,0,31,0,0,0,30,0,0,0,0,0,0
27,Centre Hospitalier  (Le Nouvion-en-Thiérache),03 23 97 56 56," LE NOUVION 40, rue André Ridders 02170 Le Nouvion-en-Thiérache",Le Nouvion-en-Thiérache,02, 30 places, Centre Hospitalier,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0
28,Centre de psychotherapie  (Saint-Quentin),03 23 06 71 34, 241 rue de Fayet  02321 Saint-Quentin,Saint-Quentin,02, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,HAD DE CHAUNY (CHAUNY),Pas de numéro, 4 ter rue Ferdinand Buisson  02300 CHAUNY,CHAUNY,02, 0 places, Hospitalisation à Domicile,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
30,CENTRE HOSPITALIER JACQUES LACARIN  (VICHY),04 70 97 33 33, Boulevard Deniere BP 2757 03207 VICHY,VICHY,03, 773 places, Centre Hospitalier,264,100,18,154,77,160,0,50,0,1,2,3,2,0,0
31,Centre hospitalier de Moulins (MCO-SSR) (Moulins),04 70 35 77 77," 10, avenue du Général de Gaulle BP 609 03006 Moulins",Moulins,03, 406 places, Centre Hospitalier,250,84,25,0,47,0,0,0,0,1,1,5,0,0,0
32,Centre hospitalier de Montluçon - Néris les Bains  (Montluçon),04 70 02 30 30," 18, avenue du 8 Mai 1945 BP 1148 03113 Montluçon",Montluçon,03, 366 places, Centre Hospitalier,263,38,35,0,30,0,0,30,0,1,1,3,1,1,0
33,Centre Hospitalier  (Bourbon-l'Archambault),04 70 67 32 00, Gautrinière  03160 Bourbon-l'Archambault,Bourbon-l'Archambault,03, 237 places, Centre Hospitalier,50,0,0,0,0,0,187,0,49,0,0,0,0,0,0
34,Etablissement de psychiatrie site d'Yzeure (Yzeure),04 70 35 77 77, Route de Gennetines BP 23  03401 Yzeure,Yzeure,03, 230 places, Centre Hospitalier,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0
35,Centre hospitalier Coeur du Bourbonnais (Tronget),04 70 47 60 60, Tronget  03240 Tronget,Tronget,03, 89 places, Centre Hospitalier,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0
36,Les Cèdres (Long séjour)  (Moulins),04 70 35 76 10, 10 avenue Général de Gaulle 10 avenue Général de Gaulle BP 609 03006 Moulins,Moulins,03, 80 places, Etablissement de Soins Longue Durée,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
37,Centre de Soins Longue Durée  (MONTLUCON),04 70 02 36 45, rue des droits de l'homme  03100 MONTLUCON,MONTLUCON,03, 60 places, Etablissement de Soins Longue Durée,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
38,Centre de Médecine Physique et de Réadaptation  (Neris-les-Bains),04 70 08 53 00," 16, rue Voltaire  03310 Neris-les-Bains",Neris-les-Bains,03, 59 places, Centre Hospitalier,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
39,Service de psychiatrie adulte  (SAINT ANGEL),04 70 02 30 38, Route de Saint Angel  03170 SAINT ANGEL,SAINT ANGEL,03, 59 places, Centre Hospitalier,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
40,CH Coeur du Bourbonnais Pavillon Saint-François (SAINT POURCAIN SUR SIOULE),04 70 47 60 60, Rue Champ Feuillet  03500 SAINT POURCAIN SUR SIOULE,SAINT POURCAIN SUR SIOULE,03, 46 places, Centre Hospitalier,10,0,0,0,36,0,0,0,0,0,0,0,0,0,0
41,Unité de Soins Longue Durée  (Ainay le Chateau),04 70 02 26 00, 6 bis rue du Pavé  03360 Ainay le Chateau,Ainay le Chateau,03, 40 places, Etablissement de Soins Longue Durée,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
42,Centre de pédopsychiatrie et de psychiatrie adulte de jour Jean-Billaud  (MONTLUCON),04 70 02 17 60, 6 rue jean billaud  03100 MONTLUCON,MONTLUCON,03, 39 places, Centre Hospitalier,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
43,HOPITAL DE JOUR INTERSECTORIEL  (VICHY),04 70 37 33 92, 19 Rue Jeanne d'Arc VICHY 03200 VICHY,VICHY,03, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CENTRE DE POST CURE VICHY EST  (CUSSET),04 70 96 50 90, 12 RUE CHARLES LOUIS PHILIPPE CUSSET 03300 CUSSET,CUSSET,03, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Etablissement Public de Santé secteur Psychiatrie  (Digne-les-Bains),04 92 30 15 15, Quartier Saint Christophe CS 60213 04995 Digne-les-Bains,Digne-les-Bains,04, 265 places, Centre Hospitalier,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0
46,Centre hospitalier  (Manosque),04 92 73 42 00, Rue Auguste Girard CS 20035 04107 Manosque,Manosque,04, 210 places, Centre Hospitalier,140,51,19,0,0,0,0,0,0,2,1,2,0,0,0
47,Etablissement Public de santé secteur MCO Centre Hospitalier Général (Digne-les-Bains),04 92 30 15 15, Quartier Saint Christophe CS 60213 04995 Digne-les-Bains,Digne-les-Bains,04, 196 places, Centre Hospitalier,132,46,18,0,0,0,0,0,0,1,1,2,0,0,0
48,Hôpital Saint-Michel (Forcalquier),04 92 70 29 00, Avenue Eugène Bernard  04300 Forcalquier,Forcalquier,04, 136 places, Hôpital local,0,0,0,0,43,0,93,0,38,0,0,0,0,0,0
49,Hôpital Lumière (Riez),04 92 70 10 00, Place Émile Bouteuil BP 67 04500 Riez,Riez,04, 82 places, Hôpital local,4,0,0,0,15,0,63,0,33,0,0,0,0,0,0
50,Centre hospitalier Intercommunal des Alpes du Sud Site de SISTERON (Sisteron),04 92 33 70 00," 4, avenue de la Libération BP 99 04203 Sisteron",Sisteron,04, 73 places, Centre Hospitalier,30,0,0,0,43,0,0,0,0,1,0,2,0,0,0
51,Hôpital local Pierre Groues (Barcelonnette),04 92 80 80 20," 8, rue Maurin  04400 Barcelonnette",Barcelonnette,04, 64 places, Hôpital local,5,0,0,0,10,0,49,0,0,0,0,0,0,0,0
52,EPS  (Castellane),04 92 83 98 00, Quartier Notre-Dame  04120 Castellane,Castellane,04, 9 places, Hôpital local,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
53,Centre hospitalier Intercommunal des Alpes du Sud Site de GAP (Gap),04 92 40 61 61," 1, place Auguste Muret  05007 Gap",Gap,05, 420 places, Centre Hospitalier,173,60,18,0,87,50,32,40,0,1,2,4,0,1,0
54,Centre Médical SSR et psychiatrie Centre Médical CHANT'OURS (Briançon),04 92 25 30 30, 118 route de Grenoble  05107 Briançon,Briançon,05, 225 places, Etablissement de Convalescence et de Repos,0,0,0,20,205,0,0,0,0,0,0,0,0,0,0
55,Centre hospitalier des Escartons (BRIANCON),04 92 25 25 25," 24, avenue Adrien Daurelle 24, avenue Adrien Daurelle 05105 BRIANCON",BRIANCON,05, 180 places, Centre Hospitalier,42,25,10,19,0,30,54,0,0,1,0,3,0,0,0
56,Psychiatrie Générale Adultes (33 lits - 15 lits de géronto psy - 19 places HJ/HN -  18 Appt Th - 12 AFT - 20 addicto) (Laragne-Monteglin),04 92 65 11 68, Rue du Dr Provansal  05300 Laragne-Monteglin,Laragne-Monteglin,05, 117 places, Centre Hospitalier,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0
57,SSR  (TALLARD),04 92 54 80 00, BP 27 LES BOULONGEONS 05130 TALLARD,TALLARD,05, 90 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
58,CENTRE DE GERIATRIE ETOILE DES NEIGES (EHPAD-USLD) (BRIANCON),04 92 25 28 10," 15, Avenue Adrien Daurelle 15, Avenue Adrien Daurelle 05105 BRIANCON",BRIANCON,05, 84 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,54,0,0,0,0,0,0,0,0
59,Centre Hospitalier Centre Hospitalier Aiguilles Queyras (AIGUILLES),04 92 46 70 18, Rue Saint-Jacques  05470 AIGUILLES,AIGUILLES,05, 79 places, Hôpital local,4,0,0,0,0,0,75,0,19,0,0,0,0,0,0
60,SSR / EHPAD ASSOCIATION RIO VERT (LA SAULCE),04 92 55 58 00," 650, avenue de Marseille  05110 LA SAULCE",LA SAULCE,05, 62 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
61,Centre hospitalier  (EMBRUN),04 92 43 73 00," 8, Rue Pierre et Marie Curie  05200 EMBRUN",EMBRUN,05, 60 places, Centre Hospitalier,26,0,0,0,34,0,0,0,0,0,0,2,0,0,0
62,Unité de soins de longue durée  (EMBRUN),04 92 43 73 00, 8 rue Pierre et Marie Curie 8 rue Pierre et Marie Curie 05200 EMBRUN,EMBRUN,05, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
63,"""Le Buech"" USLD  (Laragne)",Pas de numéro, Rue du Dr Provansal  05300 Laragne,Laragne,05, 25 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
64,Psychiatrie Infanto-juvénile (Gap) (8 lits + 13 places HJ+ 4 AFT) (GAP),Pas de numéro, 49 Avenue Emile Didier  05000 GAP,GAP,05, 25 places, Centre Hospitalier,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
65,Hôpital de jour enfants Les Isles (Laragne-Monteglin),Pas de numéro, rue du Moulin  05300 Laragne-Monteglin,Laragne-Monteglin,05, 4 places, Centre Hospitalier,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
66,Psychiatrie Infanto-juvénile (Briançon) CMP - CATTP- HJ  le Préambulle (BRIANCON),Pas de numéro, 13 avenue adrien daurelle  05100 BRIANCON,BRIANCON,05, 4 places, Centre Hospitalier,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
67,Centre hospitalier d'Antibes Juan-les-Pins (Antibes),04 97 24 77 77," Chemin des 4 Chemins, 06600 Antibes 107, Avenue de Nice 06606 Antibes",Antibes,06, 704 places, Centre Hospitalier,264,71,25,117,25,20,182,0,0,2,2,3,1,0,0
68,Groupe hospitalier l'Archet (Nice),04 92 03 77 77, 151  Rte Saint Antoine Ginestiere BP 79 06202 Nice,Nice,06, 685 places, Hôpital dépendant d'un CHRU,433,163,59,0,30,0,0,0,0,2,1,2,1,1,1
69,Centre Hospitalier de Cannes Simone Veil  (Cannes),04 93 69 70 00, 15 avenue des broussailles  06401 Cannes,Cannes,06, 548 places, Centre Hospitalier,296,83,29,66,20,54,0,25,0,2,2,4,2,0,0
70,Hôpital Pasteur (Nice),04 92 03 77 77, 30  Ave De La Voie Romaine CS 51069 06001 Nice,Nice,06, 461 places, Hôpital dépendant d'un CHRU,231,124,0,106,0,0,0,0,0,3,3,8,2,0,0
71,CENTRE HOSPITALIER de GRASSE  (Grasse),04 93 09 55 55, Chemin de Clavary BP 53149 06135 Grasse,Grasse,06, 380 places, Centre Hospitalier,307,0,0,43,30,0,0,15,0,2,1,4,0,0,0
72,Hôpital Cimiez (Nice),04 92 03 77 77, 4  Ave Victoria CS 91179 06003 Nice,Nice,06, 324 places, Hôpital dépendant d'un CHRU,52,0,0,0,171,101,0,0,0,0,0,1,0,0,0
73,Centre hospitalier Saint-Éloi (Sospel),04 93 04 30 30, place Saint François  06380 Sospel,Sospel,06, 210 places, Hôpital local,12,0,0,0,13,0,185,0,0,0,0,1,0,0,0
74,Centre hospitalier La Palmosa (Menton),04 93 28 77 77, 2 ave Antoine Péglion BP 189 06507 Menton,Menton,06, 207 places, Centre Hospitalier,53,42,0,0,82,30,0,0,0,1,1,2,0,0,0
75,Centre de convalescence de Tende - Maison de retraite  (Tende),04 93 04 60 50, 3 avenue Jean Médecin  06430 Tende,Tende,06, 203 places, Etablissement de Soins Longue Durée,0,0,0,0,80,40,83,0,0,0,0,0,0,0,0
76,ESPIC Hôpitaux Pédiatriques Nice CHU-Lenval Directeur : M. Arnaud POUILLART (NICE),04 92 03 03 92, 57 avenue de la Californie  06200 NICE,NICE,06, 194 places, Etablissement de Soins Pluridisciplinaire,52,38,0,104,0,0,0,0,0,0,0,0,0,0,0
77,Centre Hospitalier de Puget-Théniers (Puget-Theniers),04 93 05 00 30, Quartier Condamine  06260 Puget-Theniers,Puget-Theniers,06, 185 places, Hôpital local,6,0,0,30,15,0,134,0,0,0,0,0,0,0,0
78,Hôpital de proximité  (Breil-sur-Roya),04 93 04 37 00, 2 Rue Cordier  06540 Breil-sur-Roya,Breil-sur-Roya,06, 130 places, Hôpital local,5,0,0,50,10,0,65,0,0,0,0,0,0,0,0
79,Centre Antoine Lacassagne  (Nice),04 92 03 10 00," 33, avenue de Valombrose  06189 Nice",Nice,06, 118 places, Centre de Lutte Contre Cancer,76,42,0,0,0,0,0,0,0,0,0,0,0,0,0
80,SSR Cardiologique et pneumologique (VENCE),04 93 24 58 00, 577 avenue Henri Giraud  06140 VENCE,VENCE,06, 84 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
81,Centre Hospitalier de Proximité Saint-Lazare (Tende),04 93 04 62 27, Quartier Speggi  06430 Tende,Tende,06, 78 places, Hôpital local,5,0,0,0,0,0,73,0,50,0,0,0,0,0,0
82,USLD Isola Bella Isola Bella (Cannes),04 93 69 72 80, 27 avenue Isola Bella  06400 Cannes,Cannes,06, 66 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
83,ETABLISSEMENT SSR ESPIC  (LEVENS),04 93 91 70 70, LES LAURIERS ROSES 54 ROUTE DE DURANUS 06670 LEVENS,LEVENS,06, 52 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
84,USLD Pôle Santé Vallauris Golfe Juan (Vallauris),04 93 64 72 00, BP 249 Place St Roch 06227 Vallauris,Vallauris,06, 41 places, Etablissement de Soins Longue Durée,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
85,Unité de Soins de Longue Durée Petit-Paris (Grasse),04 93 09 50 25, 78  Bd Victor Hugo  06135 Grasse,Grasse,06, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
86,SSR Isola Bella  (CANNES),Pas de numéro, 27 avenue Isola Bella  06400 CANNES,CANNES,06, 20 places, Centre Hospitalier,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
87,Hôpital de jour santé mentale Isola Bella  (CANNES),Pas de numéro, 27 avenue Isola Bella  06400 CANNES,CANNES,06, 15 places, Centre Hospitalier,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
88,hopital  (SAINT ETIENNE DE TINEE),04 93 23 28 28, SAINT ETIENNE DE TINEE 3 rue droite 06660 SAINT ETIENNE DE TINEE,SAINT ETIENNE DE TINEE,06, 10 places, Hôpital local,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
89,Centre médico-psychologique et hôpital de jour Les Violettes (Cannes),04 93 99 78 14, 15 avenue des Broussailles  06414 Cannes,Cannes,06, 10 places, Centre Hospitalier,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
90,Hôpital de jour santé mentale Les Bosquets  (CANNES),Pas de numéro, 12 rue des Bosquets  06151 CANNES,CANNES,06, 10 places, Centre Hospitalier,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
91,Centre de planification et d’éducation familiale  (CANNES),Pas de numéro, 15 avenue des Broussailles  06400 CANNES,CANNES,06, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Centre Hospitalier  (VILLENEUVE DE BERG),04 75 88 80 25, BP 34  07170 VILLENEUVE DE BERG,VILLENEUVE DE BERG,07, 348 places, Hôpital local,12,0,0,90,30,75,141,0,0,0,0,0,0,0,0
93,Centre hospitalier d'Ardèche Nord  (ANNONAY),04 75 67 35 00, BP 119 rue du Bon Pasteur 07103 ANNONAY,ANNONAY,07, 269 places, Centre Hospitalier,175,49,20,0,25,0,0,0,0,1,1,3,0,0,0
94,Centre hospitalier SITE Bernard HUGO (Aubenas),04 75 35 60 60, avenue de Bellande BP 50146 07205 Aubenas,Aubenas,07, 228 places, Centre Hospitalier,150,43,16,0,19,0,0,24,0,1,1,2,0,0,0
95,Centre Hospitalier Léopold Ollier (Chambonas),04 75 37 80 00, Le Plot du Puech  07140 Chambonas,Chambonas,07, 160 places, Centre Hospitalier,15,0,0,0,0,0,145,0,0,0,0,0,0,0,0
96,Centre hospitalier ELISEE CHARRA (LAMASTRE),04 75 06 15 00, 5 avenue Elisée Charra 5 avenue Elisée Charra 07270 LAMASTRE,LAMASTRE,07, 151 places, Hôpital local,12,0,0,0,27,0,112,0,42,0,0,1,0,0,0
97,Centre Hospitalier Jos Jullien  (Joyeuse),04 75 39 97 30, Rue du docteur Pialat  07260 Joyeuse,Joyeuse,07, 149 places, Centre Hospitalier,15,0,0,0,18,0,116,0,23,0,0,0,0,0,0
98,Centre Hospitalier SITE Paul RIBEYRE (Vals les Bains),Pas de numéro, Vals les Bains  07600 Vals les Bains,Vals les Bains,07, 145 places, Centre Hospitalier,10,0,0,0,135,0,0,0,0,0,0,0,0,0,0
99,HOPITAL de VALLON PONT D'ARC  (Vallon Pont d'Arc),04 75 88 42 50, Rue Louis Claron  07150 Vallon Pont d'Arc,Vallon Pont d'Arc,07, 139 places, Hôpital local,16,0,0,0,10,0,113,0,0,0,0,0,0,0,0
100,CENTRE HOSPITALIER Fernand Lafont  (Le Cheylard),04 75 29 86 00," 1, Rue Fernand Lafont  07160 Le Cheylard",Le Cheylard,07, 134 places, Hôpital local,20,0,0,0,15,38,61,0,0,0,0,1,0,0,0
101,Hôpital Intercommunal Bourg St Andéol-Viviers  (Bourg-Saint-Andeol),04 75 54 50 61, rue Paul Sémard BP 9 07700 Bourg-Saint-Andeol,Bourg-Saint-Andeol,07, 131 places, Hôpital local,8,0,0,0,22,0,101,0,0,0,0,0,0,0,0
102,CENTRE HOSPITALIER Rocher - Largentière (Largentière),04 75 35 83 00, avenue des Marronniers  07110 Largentière,Largentière,07, 114 places, Hôpital local,8,0,0,0,30,0,76,0,0,0,0,0,0,0,0
103,Centre hospitalier de Privas Ardèche  (Privas),04 75 20 20 00," 2, avenue Pasteur CS 10707 07007 Privas",Privas,07, 107 places, Centre Hospitalier,73,34,0,0,0,0,0,0,0,1,0,2,0,0,0
104,USLD/EHPAD Résidence du Montoulon (Privas),04 75 20 21 00, Lieu Dit Le Montoulon avenue des anciens combattants d'Afrique du Nord 07000 Privas,Privas,07, 104 places, Centre Hospitalier,0,0,0,0,22,60,22,0,0,0,0,0,0,0,0
105,Hôpital de Tournon  (Tournon-sur-Rhône),04 75 07 75 07, 50 rue des alpes BP 63 07301 Tournon-sur-Rhône,Tournon-sur-Rhône,07, 59 places, Hôpital local,30,0,6,0,23,0,0,0,0,0,0,1,0,0,0
106,Secteur sanitaire de l'Hôpital de SAINT-FELICIEN  (Saint-Félicien),04 75 06 02 00, 2 rue du pont vieux  07410 Saint-Félicien,Saint-Félicien,07, 35 places, Hôpital local,11,0,0,0,24,0,0,0,0,0,0,0,0,0,0
107,Centre hospitalier de SERRIERES  (SERRIERES),04 75 69 42 00, 25 Avenue Helvetia  07340 SERRIERES,SERRIERES,07, 33 places, Hôpital local,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
108,Hôpital de Moze (Saint Agrève),04 75 30 39 00," 1, rue du Dr Tourasse  07320 Saint Agrève",Saint Agrève,07, 16 places, Etablissement de Soins Pluridisciplinaire,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0
109,Hôpital Manchester (Charleville-Mézières),03 24 58 70 70, 45 Avenue de Manchester BP 10900 08011 Charleville-Mézières,Charleville-Mézières,08, 539 places, Centre Hospitalier,375,101,63,0,0,0,0,0,0,2,2,7,1,2,0
110,Centre hospitalier  (Sedan),03 24 22 80 00," 2, avenue du Général Margueritte CS 40903 08209 Sedan",Sedan,08, 255 places, Centre Hospitalier,120,41,21,0,30,43,0,0,0,1,0,3,0,0,0
